argument_text,average_strength,argument_id,argument_itself,text,label,mace_label_1,mace_prob_1,mace_label_2,mace_prob_2,mace_label_3,mace_prob_3
I say pepsi because one direction did a pepsi commercial and i just love them so much and so I'm just gonna say pepsi. bye.,2.0,arg537463,one direction did a pepsi commercial and i just love them so much and so I'm just gonna say pepsi.,I say pepsi because one direction did a pepsi commercial and i just love them so much and so I'm just gonna say pepsi. bye.,2,strong,0.998054782915343,moderate,0.000972608542328724,weak,0.000972608542328724
"Usually, outsourcing is a good thing, but government regulations have made it much harder to gain profits. The only solution was to outsource which should never have happened to the degree it has.We outsourced out of government imposed necessity, not by natural market forces.",3.0,arg268190,"t government regulations have made it much harder to gain profits. The only solution was to outsource which should never have happened to the degree it has.We outsourced out of government imposed necessity, not by natural market forces.","Usually, outsourcing is a good thing, but government regulations have made it much harder to gain profits. The only solution was to outsource which should never have happened to the degree it has.We outsourced out of government imposed necessity, not by natural market forces.",3,moderate,0.997834680705028,weak,0.00108265964748585,strong,0.00108265964748585
it is the worst thing in the world. how would you feel if people started testing on people then what would you say top that,1.0,arg206087,it is the worst thing in the world. how would you feel if people started testing on people then what would you say top that,it is the worst thing in the world. how would you feel if people started testing on people then what would you say top that,1,strong,0.997583040321864,moderate,0.00120847983906783,weak,0.00120847983906783
"child beauty pageants are teaching young vulnerable children to think they need to wear more makeup and tan that a teenage girl. they should be treated like the small children they are playing with dolls, not being made to look like a doll themselves!",2.5,arg813179,"child beauty pageants are teaching young vulnerable children to think they need to wear more makeup and tan that a teenage girl. they should be treated like the small children they are playing with dolls, not being made to look like a doll themselves!","child beauty pageants are teaching young vulnerable children to think they need to wear more makeup and tan that a teenage girl. they should be treated like the small children they are playing with dolls, not being made to look like a doll themselves!",3,strong,0.995399203423166,weak,0.00351003996469432,moderate,0.00109075661213956
school can also help you establish your independence and acquire new skills,2.5,arg929679,school can also help you establish your independence and acquire new skills,school can also help you establish your independence and acquire new skills,3,weak,0.993907146056368,moderate,0.00315417684009766,strong,0.00293867710353449
"NO, what's wrong with you no one's going to agree on what it should be!",2.0,arg628590,what's wrong with you no one's going to agree on what it should be,"NO, what's wrong with you no one's going to agree on what it should be!",2,moderate,0.993659038117721,weak,0.0031704809411395,strong,0.0031704809411395
marijuana helps relieve anxiety. Some people have severe anxiety and marijuana helps relieve it.,2.5,arg782396,marijuana helps relieve anxiety. Some people have severe anxiety and marijuana helps relieve it.,marijuana helps relieve anxiety. Some people have severe anxiety and marijuana helps relieve it.,3,moderate,0.993425123315639,strong,0.00340514209825194,weak,0.00316973458610885
"I think abortion is bad. I really do. But I think it should be up to the mother. After all, she IS the one carrying the baby. The father should not have the right to choose, but he could help the mother decide her choice.",2.0,arg78180,"it should be up to the mother. After all, she IS the one carrying the baby. The father should not have the right to choose,","I think abortion is bad. I really do. But I think it should be up to the mother. After all, she IS the one carrying the baby. The father should not have the right to choose, but he could help the mother decide her choice.",2,moderate,0.992888626278683,strong,0.00383894724073093,weak,0.00327242648058656
"Most islamic people are peaceful. There are just a few who commit acts of terror under the name of their religion. Most islamic people detest what they do, and those terrorists acts make the majority of islamic people look bad when they aren't.",2.67,arg584931,Most islamic people are peaceful.,"Most islamic people are peaceful. There are just a few who commit acts of terror under the name of their religion. Most islamic people detest what they do, and those terrorists acts make the majority of islamic people look bad when they aren't.",3,weak,0.99262354616903,strong,0.00398204597177847,moderate,0.0033944078591921
People SHOULD NOT have abortions. It doesn't matter if the baby is technically a child yet or not. It's the idea that there is the oppurtunity for life to happen and you are taking that away with abortion. There are always other options.,1.990566037735849,arg141876,It's the idea that there is the oppurtunity for life to happen and you are taking that away with abortion.,People SHOULD NOT have abortions. It doesn't matter if the baby is technically a child yet or not. It's the idea that there is the oppurtunity for life to happen and you are taking that away with abortion. There are always other options.,2,weak,0.991845381839935,moderate,0.0040773090800325,strong,0.0040773090800325
dogs are to be chosen because they protect man.they are also good and kind,1.975675675675676,arg429399,dogs are to be chosen because they protect man.they are also good and kind,dogs are to be chosen because they protect man.they are also good and kind,2,moderate,0.991009184247794,weak,0.00449540787610296,strong,0.00449540787610296
But they would feel so good inside if they did help the poor.,2.0,arg631614,But they would feel so good inside if they did help the poor.,But they would feel so good inside if they did help the poor.,2,moderate,0.990337561459148,strong,0.00521609371533126,weak,0.00444634482552075
"At the mention of God's name, people bow down in droves.Satan struggles an eternity for regconition and people still hates his chargrilled ass!",1.67,arg99504,"At the mention of God's name, people bow down in droves","At the mention of God's name, people bow down in droves.Satan struggles an eternity for regconition and people still hates his chargrilled ass!",2,moderate,0.989381943017996,weak,0.00617600262195292,strong,0.00444205436005084
"unlike McCain obama thinks we need money for education. Think how students would be without books, games, computers and other things teachers use to help educate us. How would this country be if students couldn't afford to go to college we think were in a recession now it would be worse if we dont have the education to do half the jobs that are needed to make this economy work.",2.5,arg24455," obama thinks we need money for education. Think how students would be without books, games, computers and other things teachers use to help educate us. How would this country be if students couldn't afford to go to college we think were in a recession now it would be worse if we dont have the education to do half the jobs that are needed to make this economy work.","unlike McCain obama thinks we need money for education. Think how students would be without books, games, computers and other things teachers use to help educate us. How would this country be if students couldn't afford to go to college we think were in a recession now it would be worse if we dont have the education to do half the jobs that are needed to make this economy work.",3,strong,0.989089766734872,moderate,0.00545511663256389,weak,0.00545511663256389
books are better than computers :),1.484375,arg520341,books are better than computers ,books are better than computers :),1,moderate,0.988301902717939,strong,0.00619173021573012,weak,0.00550636706633045
"❐ God don't sleep, but Jesus did ➭As they sailed, he fell asleep. A squall came down on the lake, so that the boat was being swamped, and they were in great danger. [Luke 8:23]",3.0,arg245706,"God don't sleep, but Jesus did","❐ God don't sleep, but Jesus did ➭As they sailed, he fell asleep. A squall came down on the lake, so that the boat was being swamped, and they were in great danger. [Luke 8:23]",3,weak,0.98440807459102,strong,0.00841702058873074,moderate,0.00717490482024972
HOW ELSE ARE WE SUPPOSED TO TEST STUFF? DO WE TEST IT FLOWERS???,2.2675,arg661503,HOW ELSE ARE WE SUPPOSED TO TEST STUFF? DO WE TEST IT FLOWERS???,HOW ELSE ARE WE SUPPOSED TO TEST STUFF? DO WE TEST IT FLOWERS???,2,strong,0.983202332642406,moderate,0.00839883367879719,weak,0.00839883367879719
I understand the yes and the no parts of the question but I´m inclined with the yes part. Tobacco is worse than any non smockable drug. Tobacco causes various diceases to the user but to everyone that is around.,3.0,arg109176,Tobacco is worse than any non smockable drug. Tobacco causes various diceases to the user but to everyone that is around.,I understand the yes and the no parts of the question but I´m inclined with the yes part. Tobacco is worse than any non smockable drug. Tobacco causes various diceases to the user but to everyone that is around.,3,moderate,0.982919966936656,strong,0.00971520263395915,weak,0.00736483042938443
"Greater stem-cell research would come from competition between private corporations, so no. Plus, why should anyone pay for something they do NOT support?",2.0,arg19379,Greater stem-cell research would come from competition between private corporations,"Greater stem-cell research would come from competition between private corporations, so no. Plus, why should anyone pay for something they do NOT support?",2,moderate,0.982919966936656,strong,0.00971520263395915,weak,0.00736483042938443
"Its back to the personal problem, every people have their each right to Help anyone, its about ""right"" , its about voluntary service not about obligation !!im really proud to oppose",2.657179487179487,arg298841,"Its back to the personal problem, every people have their each right to Help anyone, its about ""right"" , its about voluntary service not about obligation !!","Its back to the personal problem, every people have their each right to Help anyone, its about ""right"" , its about voluntary service not about obligation !!im really proud to oppose",3,moderate,0.982919966936656,strong,0.00971520263395915,weak,0.00736483042938443
Even if it's choice you should still wear them. They save lives and also here in England you have to wear them it's no different in the US accidents can still happen over there,2.67,arg306458,They save lives and also here in England you have to wear them it's no different in the US accidents can still happen over there,Even if it's choice you should still wear them. They save lives and also here in England you have to wear them it's no different in the US accidents can still happen over there,3,moderate,0.982919966936656,strong,0.00971520263395915,weak,0.00736483042938443
children should be spanked to a certain extent. not necesarrily beat but until theyre able to understand right from wrong.,1.5,arg334984,until theyre able to understand right from wrong.,children should be spanked to a certain extent. not necesarrily beat but until theyre able to understand right from wrong.,1,moderate,0.978401985456117,weak,0.0129979013950407,strong,0.00860011314884266
"When we are too involved in the Social Media, we would not communicate with the people around us and solely emerge into the social media, thus we it makes us less sociable",2.67,arg291449,"When we are too involved in the Social Media, we would not communicate with the people around us and solely emerge into the social media, thus we it makes us less sociable","When we are too involved in the Social Media, we would not communicate with the people around us and solely emerge into the social media, thus we it makes us less sociable",3,moderate,0.977514877061905,weak,0.0151607918084728,strong,0.00732433112962233
"The concept is great, but I hate its application. Swarms of randoms wanting to be friends with you, fucking Farmville spam, undeletable accounts. And no, please don't plaster my full name on every single thing I do or say online >.<",2.0,arg148555,"Swarms of randoms wanting to be friends with you, fucking Farmville spam, undeletable accounts.","The concept is great, but I hate its application. Swarms of randoms wanting to be friends with you, fucking Farmville spam, undeletable accounts. And no, please don't plaster my full name on every single thing I do or say online >.<",2,strong,0.95394543783526,moderate,0.0230272810823699,weak,0.0230272810823699
"Even though he did improve the production rate of goods and helped in the economy of the country, he cost many citizens to suffer, which is a failure of a leader. Moreover, he governed the country using fear. He was not a leader with the support of his citizens. Moreover, with the exponential rate of decrease in the number of citizens due to his reforms. The reforms couldn't have lasted long.",2.5,arg285232,"Even though he did improve the production rate of goods and helped in the economy of the country, he cost many citizens to suffer, which is a failure of a leader. Moreover, he governed the country using fear. He was not a leader with the support of his citizens. Moreover, with the exponential rate of decrease in the number of citizens due to his reforms. The reforms couldn't have lasted long.","Even though he did improve the production rate of goods and helped in the economy of the country, he cost many citizens to suffer, which is a failure of a leader. Moreover, he governed the country using fear. He was not a leader with the support of his citizens. Moreover, with the exponential rate of decrease in the number of citizens due to his reforms. The reforms couldn't have lasted long.",3,strong,0.95394543783526,moderate,0.0230272810823699,weak,0.0230272810823699
"If they saw him they would deport him and then argue that he had to have blonde hair, blue eyes.",2.0,arg1082135,"If they saw him they would deport him and then argue that he had to have blonde hair, blue eyes.","If they saw him they would deport him and then argue that he had to have blonde hair, blue eyes.",2,strong,0.952641744841647,moderate,0.0236791275791764,weak,0.0236791275791764
"yeah, junk food should be banned from schools. students will never get a chance to get junk food for themselves if it is banned. at least they would be reducing a junk meal of every days diet of students. it will also help in reduction of the number of the obese children or fatties.",2.33,arg139512,students will never get a chance to get junk food for themselves if it is banned.,"yeah, junk food should be banned from schools. students will never get a chance to get junk food for themselves if it is banned. at least they would be reducing a junk meal of every days diet of students. it will also help in reduction of the number of the obese children or fatties.",2,moderate,0.952160412413699,weak,0.0407052325880453,strong,0.00713435499825548
There is no evidence of any magic invisible sky gods. Adults with imaginary friends are pathetic.,2.0,arg250836,There is no evidence of any magic invisible sky gods. Adults with imaginary friends are pathetic.,There is no evidence of any magic invisible sky gods. Adults with imaginary friends are pathetic.,2,strong,0.950280978801743,weak,0.0267801964623745,moderate,0.0229388247358821
Worth saying that banning guns from a society used to them is no t same thing as looking at countries that never had generalized possession of personal weapons. Banning guns in America would probably lead to more crime.,1.67,arg333648,anning guns in America would probably lead to more crime.,Worth saying that banning guns from a society used to them is no t same thing as looking at countries that never had generalized possession of personal weapons. Banning guns in America would probably lead to more crime.,2,strong,0.944894895202584,moderate,0.027552552398708,weak,0.027552552398708
"put a gun on a table, tie a person to a chair and if the person is hurt in anyway by a gun somehow when you come back, then you will have your answer.The saying Guns don't kill people, people kill people is majorly prevelant here.",2.0,arg343542,"Guns don't kill people, people kill people","put a gun on a table, tie a person to a chair and if the person is hurt in anyway by a gun somehow when you come back, then you will have your answer.The saying Guns don't kill people, people kill people is majorly prevelant here.",2,strong,0.944894895202584,moderate,0.027552552398708,weak,0.027552552398708
I disagree. I think classroom debate is more fun than online debate as it can train you to think on the spot and develop quick reflexes. That makes the debate more challenging. Therefore i disagree.,2.0,arg60998,classroom debate is more fun than online debate as it can train you to think on the spot and develop quick reflexes. That makes the debate more challenging.,I disagree. I think classroom debate is more fun than online debate as it can train you to think on the spot and develop quick reflexes. That makes the debate more challenging. Therefore i disagree.,2,strong,0.940858727203479,moderate,0.0295706363982605,weak,0.0295706363982605
"No one will ever be able to ""prove"" that God either exists or doesn't exist. Religion is based on FAITH & feelings, and science is based on FACTS & reasoning. Nary the two shall meet IMHO.",2.0,arg71553,"No one will ever be able to ""prove"" that God either exists or doesn't exist","No one will ever be able to ""prove"" that God either exists or doesn't exist. Religion is based on FAITH & feelings, and science is based on FACTS & reasoning. Nary the two shall meet IMHO.",2,strong,0.940858727203479,moderate,0.0295706363982605,weak,0.0295706363982605
"I am not proud to be an American. If I am American, I don't want to reveal it as I like to remain anonymous.",2.0,arg773108,"I am not proud to be an American. If I am American, I don't want to reveal it as I like to remain anonymous.","I am not proud to be an American. If I am American, I don't want to reveal it as I like to remain anonymous.",2,strong,0.940858727203479,moderate,0.0295706363982605,weak,0.0295706363982605
